tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
111,-0.5169362692143985,1.5367359304828505,1.2535866561539522,0.32200569781276905,0.05593138898331468,0.003355780453988812,0.0,0.052575608529325864,3.0458122564563898e-05,0,2,4,0.6902623030151936,1.8923652361800546e-06,-3.1269464221780897e-06,1.3358840114275149e-11
112,-0.5169343768491623,1.5367328035364283,1.2535884445511973,0.3220065966928379,0.05593138887608523,0.0033560116874179796,0.0,0.05257537718866725,2.821776166116615e-05,0,2,4,0.6902642854921511,1.7531690248789865e-06,-2.8969439455744927e-06,1.1465885853595846e-11
113,-0.5169326236801375,1.5367299065924827,1.2535901014008521,0.32200742945200994,0.05593138878405023,0.0033562259192388144,0.0,0.05257516286481142,2.614220033909689e-05,0,2,4,0.6902661221449778,1.6242123471514601e-06,-2.6838601019354978e-06,9.841170795400476e-12
114,-0.5169309994677903,1.5367272227323807,1.2535916363796507,0.3220082009545759,0.05593138870505659,0.0033564243991056953,0.0,0.05257496430595089,2.421931479088569e-05,0,2,4,0.6902678237007117,1.5047418623850838e-06,-2.486450268218143e-06,8.446683008736205e-12
115,-0.516929494725928,1.5367247362821126,1.2535930584524144,0.32200891570690704,0.05593138863725629,0.0033566082848776537,0.0,0.052574780352378635,2.2437873298282578e-05,0,2,4,0.6902694000971923,1.3940596690653618e-06,-2.3035613984528914e-06,7.249797477356866e-12
116,-0.5169281006662589,1.536722432720714,1.2535943759244397,0.32200957788380147,0.05593138857906319,0.0033567786493532872,0.0,0.05257460992970991,2.0787470565532286e-05,0,2,4,0.6902708605411367,1.2915192228771243e-06,-2.134125283371202e-06,6.222512628185344e-12
117,-0.516926809147036,1.5367202985954307,1.2535955964900272,0.3220101913528901,0.05593138852911597,0.0033569364865126557,0.0,0.05257445204260332,1.925846689044092e-05,0,2,4,0.6902722135619406,1.1965215553784436e-06,-1.977152306699148e-06,5.340795076371012e-12
118,-0.5169256126254806,1.536718321443124,1.2535967272774406,0.32201075969724346,0.055931388486246174,0.003357082717302153,0.0,0.05257430576894402,1.7841931815408807e-05,0,2,4,0.6902734670615178,1.1085117719161763e-06,-1.8317256608360587e-06,4.584017245042037e-12
119,-0.5169245041137087,1.536716489717463,1.2535977748905553,0.32201128623631425,0.05593138844945091,0.003357218194995608,0.0,0.05257417025445531,1.65295919288046e-05,0,2,4,0.690274628360472,1.0269758072824208e-06,-1.6969959886956043e-06,3.934474694392351e-12
120,-0.5169234771379014,1.5367147927214744,1.2535987454474407,0.3220117740453385,0.05593138841786943,0.0033573437101625824,0.0,0.05257404470770685,1.5313782510164125e-05,0,2,4,0.6902757042408684,9.514374201712027e-07,-1.5721764201787057e-06,3.376971860667964e-12
121,-0.5169225257004813,1.5367132205450542,1.253599644616104,0.3220122259733073,0.055931388390762934,0.0033574599952725923,0.0,0.05257392839549034,1.4187402735414777e-05,0,2,4,0.6902767009858585,8.814554092899384e-07,-1.4565379738476491e-06,2.8984665078267077e-12
122,-0.5169216442450719,1.5367117640070804,1.2536004776476033,0.3220126446596153,0.05593138836749735,0.0033575677289617166,0.0,0.052573820638535634,1.314387418099445e-05,0,2,4,0.6902776244163878,8.166210345697533e-07,-1.3494052971935178e-06,2.4877645701957004e-12
123,-0.5169208276240373,1.5367104146017831,1.2536012494067228,0.32201303254948377,0.055931388347528414,0.0033576675399863377,0.0,0.05257372080754208,1.2177102382956275e-05,0,2,4,0.6902784799252019,7.565556280952901e-07,-1.2501527205927009e-06,2.1352582432079906e-12
124,-0.5169200710684092,1.5367091644490625,1.2536019644003904,0.32201339190824924,0.05593138833038899,0.0033577600108868977,0.0,0.052573628319502096,1.1281441225929278e-05,0,2,4,0.6902792725083486,7.009083806931715e-07,-1.1582006018842627e-06,1.8327011923309924e-12
125,-0.5169193701600285,1.5367080062484606,1.2536026268040061,0.3220137248345979,0.05593138831567815,0.0033578456813829543,0.0,0.052573542634295194,1.0451659952951471e-05,0,2,4,0.6902800067943656,6.493542923856343e-07,-1.0730119393925762e-06,1.5730156191186655e-12
126,-0.5169187208057362,1.5367069332365213,1.2536032404858317,0.32201403327282857,0.05593138830305178,0.003357925051519117,0.0,0.05257346325153266,9.682912603551566e-06,0,2,4,0.6902806870713164,6.01592272788387e-07,-9.940892348017648e-07,1.3501266694274554e-12
127,-0.5169181192134634,1.5367059391472866,1.2536038090295842,0.3220143190242116,0.05593138829221448,0.0033579985845799075,0.0,0.052573389707634574,8.970709703278817e-06,0,2,4,0.6902813173118375,5.573433817412931e-07,-9.209715869604173e-07,1.1588203091592102e-12
128,-0.5169175618700816,1.5367050181756996,1.253604335755371,0.32201458375751174,0.05593138828291279,0.003358066709791051,0.0,0.05257332157312174,8.310892033378394e-06,0,2,4,0.6902819011963452,5.16349199723154e-07,-8.53231998912407e-07,9.946213400228033e-13
129,-0.5169170455208819,1.5367041649437008,1.2536048237390796,0.3220148290187369,0.05593138827492909,0.0033581298248220124,0.0,0.05257325845010708,7.69960633505382e-06,0,2,4,0.690282442134531,4.783703177334286e-07,-7.904748839809849e-07,8.53688703093133e-13
130,-0.5169165671505642,1.5367033744688168,1.2536052758303449,0.3220150562401701,0.05593138826807666,0.0033581882981052144,0.0,0.052573199969971444,7.133282797821771e-06,0,2,4,0.6902829432852785,4.4318493854236805e-07,-7.323337546982778e-07,7.327256180212799e-13
131,-0.5169161239656257,1.536702642135062,1.253605694669192,0.3220152667487356,0.05593138826219516,0.003358242470984631,0.0,0.05257314579121053,6.60861420749324e-06,0,2,4,0.6902834075751129,4.105875809778947e-07,-6.784690821642902e-07,6.289024571061336e-13
132,-0.5169157133780448,1.5367019636659798,1.2536060827014563,0.32201546177374946,0.05593138825714704,0.0033582926597068062,0.0,0.05257309559744023,6.122536626729825e-06,0,2,4,0.6902838377152939,3.803878796282412e-07,-6.285663126268104e-07,5.397905483373344e-13
133,-0.5169153329901651,1.5367013350996672,1.2536064421930675,0.32201564245410175,0.0559313882528142,0.0033583391572655392,0.0,0.05257304909554866,5.672211497711967e-06,0,2,4,0.6902842362176521,3.52409472349352e-07,-5.823340303942603e-07,4.63305359156772e-13
134,-0.5169149805806927,1.536700752765637,1.2536067752432838,0.3220158098449076,0.05593138824909534,0.003358382235111078,0.0,0.052573006013984264,5.255009062126865e-06,0,2,4,0.6902846054092577,3.264889703770424e-07,-5.395022555299e-07,3.976577314997108e-13
135,-0.5169146540917223,1.5367002132633814,1.2536070837969517,0.3220159649236698,0.05593138824590341,0.0033584221447336697,0.0,0.05257296610116974,4.86849300165756e-06,0,2,4,0.6902849474460121,3.0247500389171677e-07,-4.998208670756177e-07,3.413120271435163e-13
136,-0.5169143516167184,1.5366997134425142,1.2536073696558652,0.32201610859598934,0.05593138824316373,0.0033584591191309745,0.0,0.052572929124032754,4.510406206458793e-06,0,2,4,0.6902852643252388,2.8022733761165487e-07,-4.6305814211139436e-07,2.9295020372057266e-13
137,-0.5169140713893808,1.5366992503843722,1.2536076344892875,0.3220162417008543,0.05593138824081223,0.0033584933741674845,0.0,0.052572894866644744,4.178657592716551e-06,0,2,4,0.6902855578973489,2.596160516882273e-07,-4.2899940244367495e-07,2.5144098159121447e-13
138,-0.5169138117733292,1.5366988213849697,1.2536078798437016,0.32201636501553926,0.05593138823879397,0.0033585251098342136,0.0,0.05257286312895976,3.871309888497824e-06,0,2,4,0.6902858298766474,2.40520783186815e-07,-3.9744576044442593e-07,2.1581337964004687e-13
139,-0.516913571252546,1.5366984239392092,1.2536081071518386,0.32201647926014626,0.05593138823706166,0.0033585545114154613,0.0,0.0525728337256462,3.5865683213074355e-06,0,2,4,0.6902860818513439,2.2283002247505678e-07,-3.682129581381033e-07,1.8523400145704691e-13
